Traffik,Bandwith,Throughput,Link Utilization,Jitter,Packet Los,Packet Loss
400,1000,412,0.412,0.25,0/35,0
400,1000,400,0.4,0.179,0/34,0
400,1000,400,0.4,0.236,0/34,0
400,1000,400,0.4,0.312,0/34,0
400,1000,400,0.4,0.26,0/34,0
400,1000,400,0.4,0.17,0/34,0
400,1000,400,0.4,0.214,0/34,0
400,1000,400,0.4,0.196,0/34,0
400,1000,400,0.4,0.187,0/34,0
400,1000,400,0.4,0.181,0/34,0
400,1000,400,0.4,0.26,0/34,0
400,1000,400,0.4,0.21,0/34,0
400,1000,400,0.4,0.175,0/34,0
400,1000,400,0.4,0.197,0/34,0
400,1000,400,0.4,0.187,0/34,0
400,1000,400,0.4,0.13,0/34,0
400,1000,400,0.4,0.206,0/34,0
400,1000,400,0.4,0.156,0/34,0
400,1000,400,0.4,0.119,0/34,0
400,1000,400,0.4,0.156,0/34,0
400,1000,400,0.4,0.194,0/34,0
400,1000,400,0.4,0.147,0/34,0
400,1000,400,0.4,0.189,0/34,0
400,1000,400,0.4,0.19,0/34,0
400,1000,400,0.4,0.22,0/34,0
400,1000,400,0.4,0.138,0/34,0
400,1000,400,0.4,0.154,0/34,0
400,1000,400,0.4,0.141,0/34,0
400,1000,412,0.412,0.289,0/35,0
400,1000,400,0.4,0.226,0/34,0
400,1000,400,0.4,0.221,0/34,0
400,1000,400,0.4,0.13,0/34,0
400,1000,400,0.4,0.159,0/34,0
400,1000,400,0.4,0.142,0/34,0
400,1000,400,0.4,0.154,0/34,0
400,1000,400,0.4,0.205,0/34,0
400,1000,400,0.4,0.179,0/34,0
400,1000,400,0.4,0.171,0/34,0
400,1000,400,0.4,0.195,0/34,0
400,1000,400,0.4,0.153,0/34,0
400,1000,400,0.4,0.182,0/34,0
400,1000,400,0.4,0.183,0/34,0
400,1000,400,0.4,0.216,0/34,0
400,1000,400,0.4,0.2,0/34,0
400,1000,400,0.4,0.149,0/34,0
400,1000,400,0.4,0.17,0/34,0
400,1000,400,0.4,0.218,0/34,0
400,1000,400,0.4,0.217,0/34,0
400,1000,400,0.4,0.194,0/34,0
400,1000,400,0.4,0.168,0/34,0
400,1000,400,0.4,0.203,0/34,0
400,1000,400,0.4,0.182,0/34,0
400,1000,400,0.4,0.156,0/34,0
400,1000,400,0.4,0.254,0/34,0
400,1000,400,0.4,0.121,0/34,0
400,1000,400,0.4,0.138,0/34,0
400,1000,400,0.4,0.191,0/34,0
400,1000,400,0.4,0.182,0/34,0
400,1000,400,0.4,0.094,0/34,0
400,1000,400,0.4,0.194,0/34,0
800,1000,811,0.811,0.193,0/69,0
800,1000,800,0.8,0.183,0/68,0
800,1000,800,0.8,0.247,0/68,0
800,1000,800,0.8,0.23,0/68,0
800,1000,800,0.8,0.178,0/68,0
800,1000,800,0.8,0.231,0/68,0
800,1000,800,0.8,0.209,0/68,0
800,1000,800,0.8,0.188,0/68,0
800,1000,811,0.811,0.129,0/69,0
800,1000,800,0.8,0.223,0/68,0
800,1000,800,0.8,0.149,0/68,0
800,1000,800,0.8,0.204,0/68,0
800,1000,800,0.8,0.185,0/68,0
800,1000,800,0.8,0.145,0/68,0
800,1000,800,0.8,0.139,0/68,0
800,1000,800,0.8,0.321,0/68,0
800,1000,800,0.8,0.198,0/68,0
800,1000,800,0.8,0.161,0/68,0
800,1000,800,0.8,0.142,0/68,0
800,1000,800,0.8,0.168,0/68,0
800,1000,800,0.8,0.142,0/68,0
800,1000,800,0.8,0.199,0/68,0
800,1000,800,0.8,0.204,0/68,0
800,1000,800,0.8,0.246,0/68,0
800,1000,800,0.8,0.177,0/68,0
800,1000,800,0.8,0.194,0/68,0
800,1000,800,0.8,0.206,0/68,0
800,1000,800,0.8,0.185,0/68,0
800,1000,800,0.8,0.285,0/68,0
800,1000,800,0.8,0.167,0/68,0
800,1000,800,0.8,0.225,0/68,0
800,1000,800,0.8,0.229,0/68,0
800,1000,800,0.8,0.176,0/68,0
800,1000,800,0.8,0.269,0/68,0
800,1000,800,0.8,0.222,0/68,0
800,1000,800,0.8,0.237,0/68,0
800,1000,800,0.8,0.237,0/68,0
800,1000,800,0.8,0.167,0/68,0
800,1000,800,0.8,0.183,0/68,0
800,1000,800,0.8,0.208,0/68,0
800,1000,800,0.8,0.197,0/68,0
800,1000,800,0.8,0.147,0/68,0
800,1000,800,0.8,0.194,0/68,0
800,1000,800,0.8,0.166,0/68,0
800,1000,800,0.8,0.096,0/68,0
800,1000,811,0.811,0.193,0/69,0
800,1000,800,0.8,0.252,0/68,0
800,1000,800,0.8,0.233,0/68,0
800,1000,800,0.8,0.204,0/68,0
800,1000,800,0.8,0.17,0/68,0
800,1000,800,0.8,0.182,0/68,0
800,1000,800,0.8,0.226,0/68,0
800,1000,800,0.8,0.177,0/68,0
800,1000,800,0.8,0.225,0/68,0
800,1000,800,0.8,0.22,0/68,0
800,1000,800,0.8,0.195,0/68,0
800,1000,800,0.8,0.193,0/68,0
800,1000,800,0.8,0.224,0/68,0
800,1000,800,0.8,0.123,0/68,0
800,1000,800,0.8,0.22,0/68,0
1200,1000,988,0.988,2.288,0/84,0
1200,1000,976,0.976,2.286,0/83,0
1200,1000,964,0.964,2.3,0/82,0
1200,1000,976,0.976,2.608,0/83,0
1200,1000,976,0.976,2.292,0/83,0
1200,1000,964,0.964,2.295,0/82,0
1200,1000,976,0.976,2.292,0/83,0
1200,1000,964,0.964,2.295,0/82,0
1200,1000,976,0.976,2.295,0/83,0
1200,1000,976,0.976,2.293,0/83,0
1200,1000,964,0.964,2.296,0/82,0
1200,1000,976,0.976,2.287,0/83,0
1200,1000,976,0.976,2.297,0/83,0
1200,1000,964,0.964,2.292,0/82,0
1200,1000,976,0.976,2.29,0/83,0
1200,1000,964,0.964,2.297,0/82,0
1200,1000,976,0.976,2.306,0/83,0
